Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
Willyrex,17200000,5024088947.0,Gaming,7550,ES,38.0,15405000.0,3900.0,61600.0,46200.0,739500.0,2009.0,8,9.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
TheBrianMaps,17100000,4448334716.0,Comedy,498,RU,126.0,37164000.0,9300.0,148700.0,111500.0,1800000.0,2012.0,6,4.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
TRANS TV Official,17100000,9710962528.0,Entertainment,148225,ID,127.0,45811000.0,11500.0,183200.0,137400.0,2200000.0,2014.0,9,2.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Liza Koshy,17100000,2173106162.0,Comedy,142,US,127.0,1761000.0,440.0,7000.0,5300.0,84500.0,2013.0,9,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Queen Official,17000000,10847948832.0,Music,1015,GB,112.0,93768000.0,23400.0,375100.0,281300.0,4500000.0,2008.0,7,7.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Prajapati News,17000000,1001465469.0,Comedy,1407,IN,128.0,7626000.0,1900.0,30500.0,22900.0,366100.0,2013.0,3,14.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
LuisFonsiVEVO,17000000,14543594822.0,Music,97,US,112.0,49817000.0,12500.0,199300.0,149500.0,2400000.0,2009.0,5,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Pop Chartbusters,16900000,8684010451.0,Music,2235,IN,113.0,72911000.0,18200.0,291600.0,218700.0,3500000.0,2011.0,8,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Guava Juice,16900000,9111000228.0,Gaming,1910,US,129.0,10889000.0,2700.0,43600.0,32700.0,522600.0,2006.0,7,18.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
EeOneGuy,16900000,3827906874.0,Entertainment,366,US,129.0,1635000.0,409.0,6500.0,4900.0,78500.0,2013.0,3,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
VICE,16900000,4609753237.0,Entertainment,3900,US,129.0,36357000.0,9100.0,145400.0,109100.0,1700000.0,2005.0,12,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Aayu and Pihu Show,16900000,9270331567.0,Comedy,441,IN,34.0,89782000.0,22400.0,359100.0,269300.0,4300000.0,2017.0,5,8.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Danny Fitt,16900000,9544277833.0,People & Blogs,2337,US,129.0,275264000.0,68800.0,1100000.0,825800.0,13200000.0,2016.0,12,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Bispo Bruno Leonardo,16900000,3523578665.0,Nonprofits & Activism,4891,BR,2.0,149543000.0,37400.0,598200.0,448600.0,7200000.0,2016.0,4,10.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Like Nastya IDN,16800000,7195314800.0,Entertainment,502,ID,130.0,42836000.0,10700.0,171300.0,128500.0,2100000.0,2019.0,11,22.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Gato Galactico | GALï¿½ï¿,16800000,3693798804.0,Film & Animation,1491,BR,130.0,44121000.0,11000.0,176500.0,132400.0,2100000.0,2013.0,4,2.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
CoryxKenshin,16700000,7102965621.0,Gaming,1693,US,39.0,105114000.0,26300.0,420500.0,315300.0,5000000.0,2009.0,4,27.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
With Kids[ï¿½ï¿½ï¿½ï¿½ï,16700000,8826138204.0,Entertainment,920,US,130.0,45698000.0,11400.0,182800.0,137100.0,2200000.0,2012.0,7,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Travis Scott,16700000,7979736581.0,Music,13,US,1751.0,37623.0,9.0,150.0,113.0,1800.0,2010.0,9,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Tu COSMOPOLIS,16700000,5089284369.0,People & Blogs,8741,MX,35.0,16139000.0,4000.0,64600.0,48400.0,774700.0,2014.0,8,28.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
NMF News,16600000,7435180827.0,News & Politics,112261,IN,12.0,59201000.0,14800.0,236800.0,177600.0,2800000.0,2013.0,10,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
SriBalajiMovies,16600000,9439857193.0,Entertainment,20102,IN,132.0,154049000.0,38500.0,616200.0,462100.0,7400000.0,2011.0,9,29.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Lahari Music - TSeries,16600000,11946217860.0,Music,8976,IN,115.0,89012000.0,22300.0,356000.0,267000.0,4300000.0,2011.0,11,21.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Younes Zarou,16600000,15278668857.0,Entertainment,2200,DE,131.0,617257000.0,154300.0,2500000.0,1900000.0,29600000.0,2021.0,5,6.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
Jordan Matter,16600000,5819508534.0,Entertainment,413,US,132.0,199033000.0,49800.0,796100.0,597100.0,9600000.0,2006.0,12,21.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,16500000,2440934034.0,Entertainment,421,US,133.0,21953000.0,5500.0,87800.0,65900.0,1100000.0,2014.0,3,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
FailArmy,16500000,3037260680.0,Comedy,438,US,133.0,112986000.0,28200.0,451900.0,339000.0,5400000.0,2011.0,7,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
BBC News Hindi,16500000,7043235131.0,News & Politics,21243,IN,13.0,131202000.0,32800.0,524800.0,393600.0,6300000.0,2009.0,9,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
FunFun Toy Doll TV,16500000,7406207930.0,Entertainment,735,US,133.0,24378000.0,6100.0,97500.0,73100.0,1200000.0,2016.0,5,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Sandra Cires Art,16400000,3955426159.0,Howto & Style,1091,US,134.0,18028000.0,4500.0,72100.0,54100.0,865300.0,2011.0,9,27.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Kaykai Salaider,16400000,4434679706.0,Comedy,428,TH,134.0,9341000.0,2300.0,37400.0,28000.0,448400.0,2011.0,1,24.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
UFC - Ultimate Fighting Championship,16400000,7135820721.0,Sports,14662,US,7.0,133208000.0,33300.0,532800.0,399600.0,6400000.0,2006.0,3,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Ch7HD,16400000,9463244435.0,Entertainment,56203,TH,134.0,87757000.0,21900.0,351000.0,263300.0,4200000.0,2010.0,5,17.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
GMMTV OFFICIALï¿½ï¿½,16400000,12844432341.0,Entertainment,23952,TH,134.0,181382000.0,45300.0,725500.0,544100.0,8700000.0,2010.0,9,13.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
Matt Stonie,16300000,3527627264.0,Entertainment,54,US,1836.0,29735.0,7.0,119.0,89.0,1400.0,2010.0,6,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Boyce Avenue,16300000,6578828147.0,Music,490,US,117.0,28787000.0,7200.0,115100.0,86400.0,1400000.0,2007.0,9,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Camila Cabello,16300000,6613422635.0,Music,80,US,117.0,42704000.0,10700.0,170800.0,128100.0,2000000.0,2015.0,8,11.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Little Mix,16300000,7520242626.0,Music,278,GB,117.0,38604000.0,9700.0,154400.0,115800.0,1900000.0,2011.0,11,30.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
SAM SMITH,16300000,10170264839.0,Music,230,GB,135.0,85778000.0,21400.0,343100.0,257300.0,4100000.0,2012.0,9,14.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Pitbull,16300000,12475714382.0,Music,352,US,117.0,88004000.0,22000.0,352000.0,264000.0,4200000.0,2006.0,7,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Bollywood Classics,16300000,7141825267.0,Entertainment,1444,IN,116.0,151477000.0,37900.0,605900.0,454400.0,7300000.0,2011.0,10,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Technoblade,16300000,1656452554.0,Gaming,989,US,40.0,17944000.0,4500.0,71800.0,53800.0,861300.0,2013.0,10,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
W2S,16300000,4768370464.0,Gaming,652,GB,135.0,3079000.0,770.0,12300.0,9200.0,147800.0,2012.0,7,26.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Jennifer Lopez,16200000,10227242833.0,Music,258,US,118.0,63441000.0,15900.0,253800.0,190300.0,3000000.0,2005.0,11,18.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Kids Play,16200000,8091706232.0,Entertainment,593,US,136.0,25912000.0,6500.0,103600.0,77700.0,1200000.0,2018.0,5,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
T3ddy,16200000,2990185467.0,Comedy,1930,BR,38.0,33015000.0,8300.0,132100.0,99000.0,1600000.0,2012.0,1,16.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
JJ Olatunji,16200000,4076692623.0,Gaming,1294,GB,136.0,27808000.0,7000.0,111200.0,83400.0,1300000.0,2011.0,1,26.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
